gmina_name;date;firmy_all
Końskie;2001-01-01;
Kozłów;2001-01-01;
Krasocin;2001-01-01;
Kroczyce;2001-01-01;
Lelów;2001-01-01;
Lubochnia;2001-01-01;
Łęki Szlacheckie;2001-01-01;
Łopuszno;2001-01-01;
Magnuszew;2001-01-01;
Masłowice;2001-01-01;
Mniów;2001-01-01;
Mniszków;2001-01-01;
Mogielnica;2001-01-01;
Moskorzew;2001-01-01;
Moszczenica;2001-01-01;
Niegowa;2001-01-01;
Nowe Miasto nad Pilicą;2001-01-01;
Nowosolna;2001-01-01;
Odrzywół;2001-01-01;
Ogrodzieniec;2001-01-01;
Opoczno;2001-01-01;
Paradyż;2001-01-01;
Pilica;2001-01-01;
Piotrków Trybunalski;2001-01-01;
Poświętne;2001-01-01;
Promna;2001-01-01;
Przedbórz;2001-01-01;
Przysucha;2001-01-01;
Radoszyce;2001-01-01;
Radzanów;2001-01-01;
Ręczno;2001-01-01;
Rokiciny;2001-01-01;
Rozprza;2001-01-01;
Ruda Maleniecka;2001-01-01;
Rusinów;2001-01-01;
Rzeczyca;2001-01-01;
Sadkowice;2001-01-01;
Secemin;2001-01-01;
Sławno;2001-01-01;
Słupia;2001-01-01;
Słupia Konecka;2001-01-01;
Smyków;2001-01-01;
Stąporków;2001-01-01;
Stromiec;2001-01-01;
Sulejów;2001-01-01;
Szczekociny;2001-01-01;
Tomaszów Mazowiecki miasto;2001-01-01;
Tomaszów Mazowiecki wiejski;2001-01-01;
Tuszyn;2001-01-01;
Ujazd;2001-01-01;
Warka;2001-01-01;
Wielgomłyny;2001-01-01;
Włodowice;2001-01-01;
Włoszczowa;2001-01-01;
Wola Krzysztoporska;2001-01-01;
Wolbórz;2001-01-01;
Wolbrom;2001-01-01;
Wyśmierzyce;2001-01-01;
Zagnańsk;2001-01-01;
Zawiercie;2001-01-01;
Żarnowiec;2001-01-01;
Żarnów;2001-01-01;
Żytno;2001-01-01;
Aleksandrów;2002-01-01;
Andrespol;2002-01-01;
Belsk Duży;2002-01-01;
Będków;2002-01-01;
Białaczów;2002-01-01;
Białobrzegi;2002-01-01;
Bliżyn;2002-01-01;
Błędów;2002-01-01;
Brójce;2002-01-01;
Budziszewice;2002-01-01;
Charsznica;2002-01-01;
Czarnocin;2002-01-01;
Czerniewice;2002-01-01;
Drzewica;2002-01-01;
Fałków;2002-01-01;
Gielniów;2002-01-01;
Głowaczów;2002-01-01;
Gorzkowice;2002-01-01;
Goszczyn;2002-01-01;
Gowarczów;2002-01-01;
Grabica;2002-01-01;
Grabów nad Pilicą;2002-01-01;
Inowłódz;2002-01-01;
Irządze;2002-01-01;
Kluczewsko;2002-01-01;
Klwów;2002-01-01;
Kobiele Wielkie;2002-01-01;
Kodrąb;2002-01-01;
Koluszki;2002-01-01;
Koniecpol;2002-01-01;
Końskie;2002-01-01;
Kozłów;2002-01-01;
Krasocin;2002-01-01;
Kroczyce;2002-01-01;
Lelów;2002-01-01;
Lubochnia;2002-01-01;
Łęki Szlacheckie;2002-01-01;
Łopuszno;2002-01-01;
Magnuszew;2002-01-01;
Masłowice;2002-01-01;
Mniów;2002-01-01;
Mniszków;2002-01-01;
Mogielnica;2002-01-01;
Moskorzew;2002-01-01;
Moszczenica;2002-01-01;
Niegowa;2002-01-01;
Nowe Miasto nad Pilicą;2002-01-01;
Nowosolna;2002-01-01;
Odrzywół;2002-01-01;
Ogrodzieniec;2002-01-01;
Opoczno;2002-01-01;
Paradyż;2002-01-01;
Pilica;2002-01-01;
Piotrków Trybunalski;2002-01-01;
Poświętne;2002-01-01;
Promna;2002-01-01;
Przedbórz;2002-01-01;
Przysucha;2002-01-01;
Radoszyce;2002-01-01;
Radzanów;2002-01-01;
Ręczno;2002-01-01;
Rokiciny;2002-01-01;
Rozprza;2002-01-01;
Ruda Maleniecka;2002-01-01;
Rusinów;2002-01-01;
Rzeczyca;2002-01-01;
Sadkowice;2002-01-01;
Secemin;2002-01-01;
Sławno;2002-01-01;
Słupia;2002-01-01;
Słupia Konecka;2002-01-01;
Smyków;2002-01-01;
Stąporków;2002-01-01;
Stromiec;2002-01-01;
Sulejów;2002-01-01;
Szczekociny;2002-01-01;
Tomaszów Mazowiecki miasto;2002-01-01;
Tomaszów Mazowiecki wiejski;2002-01-01;
Tuszyn;2002-01-01;
Ujazd;2002-01-01;
Warka;2002-01-01;
Wielgomłyny;2002-01-01;
Włodowice;2002-01-01;
Włoszczowa;2002-01-01;
Wola Krzysztoporska;2002-01-01;
Wolbórz;2002-01-01;
Wolbrom;2002-01-01;
Wyśmierzyce;2002-01-01;
Zagnańsk;2002-01-01;
Zawiercie;2002-01-01;
Żarnowiec;2002-01-01;
Żarnów;2002-01-01;
Żytno;2002-01-01;
Aleksandrów;2003-01-01;
Andrespol;2003-01-01;
Belsk Duży;2003-01-01;
Będków;2003-01-01;
Białaczów;2003-01-01;
Białobrzegi;2003-01-01;
Bliżyn;2003-01-01;
Błędów;2003-01-01;
Brójce;2003-01-01;
Budziszewice;2003-01-01;
Charsznica;2003-01-01;
Czarnocin;2003-01-01;
Czerniewice;2003-01-01;
Drzewica;2003-01-01;
Fałków;2003-01-01;
Gielniów;2003-01-01;
Głowaczów;2003-01-01;
Gorzkowice;2003-01-01;
Goszczyn;2003-01-01;
Gowarczów;2003-01-01;
Grabica;2003-01-01;
Grabów nad Pilicą;2003-01-01;
Inowłódz;2003-01-01;
Irządze;2003-01-01;
Kluczewsko;2003-01-01;
Klwów;2003-01-01;
Kobiele Wielkie;2003-01-01;
Kodrąb;2003-01-01;
Koluszki;2003-01-01;
Koniecpol;2003-01-01;
Końskie;2003-01-01;
Kozłów;2003-01-01;
Krasocin;2003-01-01;
Kroczyce;2003-01-01;
Lelów;2003-01-01;
Lubochnia;2003-01-01;
Łęki Szlacheckie;2003-01-01;
Łopuszno;2003-01-01;
Magnuszew;2003-01-01;
Masłowice;2003-01-01;
Mniów;2003-01-01;
Mniszków;2003-01-01;
Mogielnica;2003-01-01;
Moskorzew;2003-01-01;
Moszczenica;2003-01-01;
Niegowa;2003-01-01;
Nowe Miasto nad Pilicą;2003-01-01;
Nowosolna;2003-01-01;
Odrzywół;2003-01-01;
Ogrodzieniec;2003-01-01;
Opoczno;2003-01-01;
Paradyż;2003-01-01;
Pilica;2003-01-01;
Piotrków Trybunalski;2003-01-01;
Poświętne;2003-01-01;
Promna;2003-01-01;
Przedbórz;2003-01-01;
Przysucha;2003-01-01;
Radoszyce;2003-01-01;
Radzanów;2003-01-01;
Ręczno;2003-01-01;
Rokiciny;2003-01-01;
Rozprza;2003-01-01;
Ruda Maleniecka;2003-01-01;
Rusinów;2003-01-01;
Rzeczyca;2003-01-01;
Sadkowice;2003-01-01;
Secemin;2003-01-01;
Sławno;2003-01-01;
Słupia;2003-01-01;
Słupia Konecka;2003-01-01;
Smyków;2003-01-01;
Stąporków;2003-01-01;
Stromiec;2003-01-01;
Sulejów;2003-01-01;
Szczekociny;2003-01-01;
Tomaszów Mazowiecki miasto;2003-01-01;
Tomaszów Mazowiecki wiejski;2003-01-01;
Tuszyn;2003-01-01;
Ujazd;2003-01-01;
Warka;2003-01-01;
Wielgomłyny;2003-01-01;
Włodowice;2003-01-01;
Włoszczowa;2003-01-01;
Wola Krzysztoporska;2003-01-01;
Wolbórz;2003-01-01;
Wolbrom;2003-01-01;
Wyśmierzyce;2003-01-01;
Zagnańsk;2003-01-01;
Zawiercie;2003-01-01;
Żarnowiec;2003-01-01;
Żarnów;2003-01-01;
Żytno;2003-01-01;
Aleksandrów;2004-01-01;
Andrespol;2004-01-01;
Belsk Duży;2004-01-01;
Będków;2004-01-01;
Białaczów;2004-01-01;
Białobrzegi;2004-01-01;
Bliżyn;2004-01-01;
Błędów;2004-01-01;
Brójce;2004-01-01;
Budziszewice;2004-01-01;
Charsznica;2004-01-01;
Czarnocin;2004-01-01;
Czerniewice;2004-01-01;
Drzewica;2004-01-01;
Fałków;2004-01-01;
Gielniów;2004-01-01;
Głowaczów;2004-01-01;
Gorzkowice;2004-01-01;
Goszczyn;2004-01-01;
Gowarczów;2004-01-01;
Grabica;2004-01-01;
Grabów nad Pilicą;2004-01-01;
Inowłódz;2004-01-01;
Irządze;2004-01-01;
Kluczewsko;2004-01-01;
Klwów;2004-01-01;
Kobiele Wielkie;2004-01-01;
Kodrąb;2004-01-01;
Koluszki;2004-01-01;
Koniecpol;2004-01-01;
Końskie;2004-01-01;
Kozłów;2004-01-01;
Krasocin;2004-01-01;
Kroczyce;2004-01-01;
Lelów;2004-01-01;
Lubochnia;2004-01-01;
Łęki Szlacheckie;2004-01-01;
Łopuszno;2004-01-01;
Magnuszew;2004-01-01;
Masłowice;2004-01-01;
Mniów;2004-01-01;
Mniszków;2004-01-01;
Mogielnica;2004-01-01;
Moskorzew;2004-01-01;
Moszczenica;2004-01-01;
Niegowa;2004-01-01;
Nowe Miasto nad Pilicą;2004-01-01;
Nowosolna;2004-01-01;
Odrzywół;2004-01-01;
Ogrodzieniec;2004-01-01;
Opoczno;2004-01-01;
Paradyż;2004-01-01;
Pilica;2004-01-01;
Piotrków Trybunalski;2004-01-01;
Poświętne;2004-01-01;
Promna;2004-01-01;
Przedbórz;2004-01-01;
Przysucha;2004-01-01;
Radoszyce;2004-01-01;
Radzanów;2004-01-01;
Ręczno;2004-01-01;
Rokiciny;2004-01-01;
Rozprza;2004-01-01;
Ruda Maleniecka;2004-01-01;
Rusinów;2004-01-01;
Rzeczyca;2004-01-01;
Sadkowice;2004-01-01;
Secemin;2004-01-01;
Sławno;2004-01-01;
Słupia;2004-01-01;
Słupia Konecka;2004-01-01;
Smyków;2004-01-01;
Stąporków;2004-01-01;
Stromiec;2004-01-01;
Sulejów;2004-01-01;
Szczekociny;2004-01-01;
Tomaszów Mazowiecki miasto;2004-01-01;
Tomaszów Mazowiecki wiejski;2004-01-01;
Tuszyn;2004-01-01;
Ujazd;2004-01-01;
Warka;2004-01-01;
Wielgomłyny;2004-01-01;
Włodowice;2004-01-01;
Włoszczowa;2004-01-01;
